rating,review_text,review_full_text
5,Classy product,"Dear Realme Lovers,

Im an Big fan of Realme Products. Reviwing one of the grateset mobile in the world.

- Screen - Awesome
- Battery - Slight drain (need an update from realme on battery issue )
- Camera - No. 1 Quality - Great
weight - Slight weight but good to use.
Finger print Sensor - Not up to the mark ( hate side sensor).

Great Product"
4,Its awesome <3,"overall mobile is good, little bit heavy but it is negotiable in front of its features and look and performance."
5,Best in the market!,Nice but most valuable
5,Worth every penny,It's super mobile under 20k range. Camera quality are also good.
4,Wonderful,Good budget mobile phone
5,Best in the market!,Awesome phone loved it .... don't wait just buy it
5,Terrific purchase,It is not good only when it comes to screen. Rest all is superb
4,Good quality product,"Performance is great. Camera is good but sometimes images looks over exposed or saturated to normal colors. OS fix needed.

First time Realme did not provided any screen protector film or glass as it does, it's very sad.. I am not able to find the same outside even after a week. All online tempered glass doesn't fit from edge to edge. They should have thought of that. :(

Battery charges fast but drains also fast. My Realme 5 Pro is better in terms of battery.
Else the phone is very good for..."
5,Excellent,Nice phone hai
5,Must buy!,"Nice camera, Good performance and awesome design. I loved it."
5,Terrific purchase,Very nice phone and good work
3,Just okay,all are good ..but Battery draning very fast
5,Super!,Camera quality is better but 10x zoom is not good.
4,Delightful,Camera is awesomeness
3,Does the job,"I was using Oppo F3 Plus gold prior to buying this mobile.I have exchanged my Oppo F3 Plus with this phone. I love listening to music on speakers. For some reason the speaker of realme 6 Pro is very distortive and very different sound. I have tried connecting to my home theatre through audio Jack, It's not that great.
Display at times Flickr. After yesterday software update its quiet different. Overall I rate 3 out of 5 for this phone as per my needs and expectations."
3,Just okay,"After using for 3 days I am writing this review
mobile performance is absolutely good but I disappointed for it's design,It's design is not exactly what they shown in advertisements ,I bought blue colour varient but it looks like black colour,so I don't preffer this phone who are attracted for it's design"
5,Perfect product!,"Only for Salman khan purchasing.
This phone over price 2000-3000.
But i am purchase only for my superstar Salman khan."
3,Does the job,"Good mobile with big screen, But battery is drying very fast with in 3-4 hours for normal use only"
5,Just wow!,"It's amazing,,, front camera is not better but rear is the best..
Super fast charging...
Performance is good..."
5,Wonderful,#..In this price segment it's amazing phone..90hz ultra smooth display is awesome..I loved it.. the camera is mind blowing... it's value for money...
3,Decent product,"Camera quality is best ,, but noisy picture 
Gaming performance are so good.....
Buttery backup so nice ...

Overall this smartphone is no.1 Quality...

1.Push updates for camera clarity ....For noise...."
5,Highly recommended,"Good phone realme 6 pro
My fevret phone se"
5,Great product,overall good mobile. but price little High.
4,Nice product,"When We go to open gallary... it is getting slow. Rest All is Good.

Plz make update for phon."
4,Nice product,"Mobile is super, but side finger print sensor is defect for this product. If the person holding mobile in hand when it is in lock state, automatically the fingerprint sensor recognizing the unwanted place of hand and trying to unlock the mobile.if the fingerprint sensor doesn't match with actual fingerprint then the user should wait until the time passes."
4,Really Nice,"The device could have been much more slimmer. Feels big in hand.

Build quality feels strong

Looks awesome from behind

Display is impressive, one cannot easily differentiate between this and an amoled display.

Major con is, too much bloatware. Few 3rd party apps can be uninstalled but many apps cannot be uninstalled.

Coming to camera, images are sharp to an extent. Colour reproduction is vivid. But the 2mp macro lens doesn't clip crisp images, macro images are blurred even when i enlarge..."
5,Must buy!,Awsm performance..
5,Super!,nice product..must buy......super clarity pictures...back cam also super
4,Worth the money,"Nice mobile "
5,Great product,"In my experience mobile perfomance so good but one thing we get extract of mobile protecction,but overall value for money good."
5,Perfect product!,"This phone has beast performance. So, don't judge the book by its cover means don't go with low star comment. Its a good phone guys. Just go for it."
5,Best in the market!,This camera is very good
5,Mind-blowing purchase,Amazing ...........
5,Perfect product!,Good
4,Good quality product,This phone is awesome.It has a huge display but even then it is handy. Its battery backup is great and also supports quick charge.If u keep charge at 25% after 45 min the charge will be around 95%.The realme ui is good and as of now ther is no ads.Front camera is good . Back camera is also good but not to the expected.I didnt observe any heating issue as of now while playing some games like real racing.It is worth to buy this mobile.
5,Fabulous!,"Excellent product.
Super fast delivery without plus membership.
Thanks for it.
Packing would have been better.
Overall performance fabulous. "
4,Very Good,Camera quality is good
4,Good,Good
5,Awesome,just wow
5,Terrific purchase,Nice mobile super speed chargig and phone
5,Highly recommended,I love this phone
5,Terrific,Thanks for flipcart....nice mobile go for it
5,Terrific,Nice
5,Excellent,Great
5,Worth every penny,Best cameras
5,Terrific purchase,Nice phone with awesome specs
5,Just wow!,"Super mobile "
5,Mind-blowing purchase,"Awesome "
4,Pretty good,Nice product but too heavy
5,Just wow!,Nice product
4,Delightful,Good smart phone. But price should be within 15k. Overall not bad..
5,Terrific purchase,"Dual punch hole camera super
Processor 720g good
90hx refresh rate osm"
5,Just wow!,A 1 mobile
4,Good quality product,Goof
5,Awesome,Amazing phone
5,Great product,Simply awesome..at this price this is the best phone.Luckily I got in the first sale itself..No second thinking just you can go blindly and go for it.
5,Classy product,Good
5,Worth every penny,just excellent..
4,Good choice,Good
5,Just wow!,Everything is awesome but brightness in daylight is very low so guys avoid this smartphone.. I am telling Seriously display brightness is very low. You can't imagine this at this price
5,Highly recommended,Nice mobile
5,Fabulous!,"Awesome Smartphone
Worth Buying"
5,Awesome,Excellent phone on this price range. I have love this.
5,Excellent,This is very amazing the realme 6 pro
5,Great product,Just awesome phone
5,Mind-blowing purchase,"Gorgeous Handset
Brightness good
No Film Protection on Screen
Powerful Charger
Battery is Ok"
5,Wonderful,Superb quality Realme ticks all the boxes as he is adding value to this price segment day by day conquering the competition....thumbs up
5,Best in the market!,Best
5,Best in the market!,features mentioned are really up to the mark. I m very very happy after purchasing and recommending to buy.
5,Great product,Wow it's Amazing
3,Fair,Very good
5,Terrific,Good one best performance
5,Just wow!,Awesome phone too good
5,Terrific,There is good quality this phone look like a very smooth working and fantastic colour
5,Wonderful,Excellent.... Wonderful Camera..... Excellent Performance....90HZ Excellent Display....
5,Fabulous!,Same as expected
4,Nice product,It worthy at this range
5,Must buy!,Excellent
5,Perfect product!,Best phone for camera lover and gamers
5,Best in the market!,Awesome
5,Mind-blowing purchase,Simply awesome that's it...no word to explain
5,Wonderful,Improve camera battery power and flash light
5,Wonderful,Awesome and awesome delivered
5,Perfect product!,awesome
5,Terrific purchase,Great Performance Like Flagship In Mid Range Budget
5,Must buy!,Nice and good looking phone
,Very poor,the device is heating very fast... worst battery life.... it is hanging out very soon... worst front camera quality
,Not recommended at all,Waste of money
,Slightly disappointed,"So many draw backs to this mobile.
1. Mainly there is no notification light very disappointed.
2. phone was slow even you clear the cache memory
3. Lot of software (Realme UI) related issues.
4. Camera zooming is very very bad( just like VGA camera)
5. This realme UI is replica of Color OS.
Pro's
1. Charging is fast ( full charge time less than 1 hour)
2. Somewhat touch response is good

Finally lot of bloatware is there if you are a oxygen OS user you don't like this realme phone"
3,Decent product,"Google Chrome hang after 20-30 mins use. Even I didn't open more than 2 tabs in Chrome.
Over hype phone nothing special than Back design.
Native applications show advertisement even after turn off ads."
,Slightly disappointed,Mind blowing
,Useless product,"It's unsatisfactory product.vibration is horrible, sometimes hangs, finishing is not good, only camera is good. No IR sensor, single vibration option. Price is very high as per specifications"
,Phone is Extremly poor in Performance.,"Product is not as per expectation.
Looking good but when we talk about of Redmi 6 Pro on ground performance use i found many technical lapses which is not acceptable.

1. Bluetooth connectivity with external home speaker is extremely poor sound automatically gone anytime. Very bad experience. you will feel cheated as low quality phone will give you better performance than this phone.

2. If you want mirroring in your TV (with chrome cast or Alexa) it will again disappoint you as signals are ..."
,Hated it!,It started hanging quickly and also temperature during charging is high... Camera quality is good... finger sensor is also working well.
5,Mind-blowing purchase,Value for money
5,Super!,Nice products
5,Super!,"Really Overpriced, We can expect sAMOLED Display for the price we paid. Battery life is Good, Processor is Good for the price but not the Best for this Price."
4,Pretty good,Every thing is perfect plss work on the brightness of the mobile screen and please improve the camera quality and pls fix some other bugs
3,Fair,Product quality is ok ok not so good
3,Just okay,Display very bad
,Slightly disappointed,Battery discharging early and mobile heating while playing videos after 10min and mobile display not showing in sun light its worrest mobile my old phone realme 3pro is better
3,Good,Flashlight is very poor.
3,Nice,Very nice moblie hai
5,Brilliant,Best phone in this range camera battery life totally perfect
5,Worth every penny,I think I get the used phone because it didn't have basic screen protection plastic on its screen otherwise phone is awesome and value for money
5,Highly recommended,Great product elegant feel while using !!
,Useless product,Charger and phone both heating too much. Camera performance is not up to the mark.
,Not recommended at all,Camara is not worth go for money
,Unsatisfactory,nice product but worst logistics systems ever.
5,Mind-blowing purchase,"Highly durable as compare to Poco x2
Dolby Atmos support which is quite fabulous 
Slow motion by front camera is quite good "
5,Highly recommended,"Awesome camera
Awesome performance
Beast charging
Battery life ok"
,Worthless,"Phone is bulky,too heavy to Handel in one hand"
,Not recommended at all,Worst and defective produt
5,Simply awesome,"I'm writing this review after 2 weeks of use

In hand feel: phone is large and difficult for one handed use but the weight distribution is great doesn't feel heavy.

Display is neither dim nor too bright it gets the job done even in outdoor and the 90hz refresh rate makes it feel smooth.

Cameras on the back are good but 20x zoom doesn't give you clear image.

Selfie cameras are good and the camera performance can be improved by updates.

Battery life is amazing (even with 90hz on) I easily..."
5,Terrific,Great phone from realme! Good to go if you don't think it's overpriced...
3,Good,"Display is bit on the weaker side
Pictures has lots of grains
Proximity sensor doesn't work well
Display size is too big"
5,Terrific,"Reviewing after 1 week of use:
~Superb battery backup
~No heating issues while playing pubg like games.. where as realme 6 heats up..
~superb camera
~display just awesome and finger print sensor really comfortable..
Conclusion
~i actually thought to buy realme x2 which having amoled display.. But in 6 pro ips display is just superb bright and punchy colors.. Andit will never disappoint you.. And also having dual punchhole camera where as water drop notch in x2... I..."
5,Just wow!,Very very good
3,Just okay,"It hangs very badly.
Not upto mark."
3,Fair,Internet are very slow
4,Delightful,It's phone may be I like it
5,Worth every penny,"Apart from camera display and battery charging, voice and sound quality is also excellent."
4,Good choice,Good package camera best but display is not goood
3,Nice,"Some function not work properly
Some time hang
YouTube notification not close showing every time"
4,Very Good,"Good Value for Money.,."
5,Great product,"Likes :
VOOC Charging is very good
Camera quality is extraordinary.

Dislikes :
Facing heat issues while capturing 4K videos and even normal videos"
5,Highly recommended,defiantly buy
5,Fabulous!,"Camera good, expecially in 5x zoom. Performance is good. Disign is awsome. Overall Very good phone, but bit expensive. It would be great if get 6+128GB in 16k. Except cost most recommended phone."
4,Very Good,Not bad... ☹️
5,Simply awesome,Best phone
5,Fabulous!,Awesome Mobile...
5,Great product,Nice
5,Brilliant,Not bad
4,Worth the money,this phone is thick. And in this price segment go for Amoled display.
5,Terrific,Its brilliant
5,Worth every penny,Amazing mobile
4,Good quality product,"Nice Product "
5,Perfect product!,Nice product
5,Terrific,Very good
5,Must buy!,What a phone  with sd 720 it rocks
4,Delightful,"Pros

1. Battery reaches 100% from 10% in 20 minutes.
2. Built quality
3. Never heats up even while playing high graphic games.

Cons

1. Feels Heavy in hand
2. Camera app is boring"
4,Good quality product,Superb phone. Value for money. Amazing performance. Best mid-range phone.
5,Fabulous!,A perfect phone in this price range.
5,Worth every penny,Value for money
5,Highly recommended,Very Nyc
5,Best in the market!,Good camera
5,Terrific,All most very nice product
,Not recommended at all,Exchange experience is not good
4,Nice product,"Good phone in price.
But screen quality needs improvement.
Screen sometimes flickers during operations.
Operating speed excellent.
Finger print scanner too good.
Battery more than a day. Charging super fast.
Mobile sound average but Dolby sound and loudness excellent in Earphones.
Overall 4 stars."
5,Nice,Value for money
5,Excellent,It was very good product launch by realme in this prices segment perfomances is owsam camra quality is also to good and toch was also very very buttery smoth toally owasam product
5,Mind-blowing purchase,This five star only for Flipkart
4,Good quality product,Wow camera
5,Best in the market!,Amazing realme
5,Brilliant,"Good display, stylish design, value for money"
5,Must buy!,"Everything is okay but ,it took 1hr 5mints to full charge the mobile where as it promised to do it in 57mints ,it charged 85% in 50 mints but tool 15 mints to charge remaining"
5,Brilliant,Value for money
5,Awesome,Good Quality
3,Fair,"Expected as committed delivery, good fast charging and back side looks so stunning but overall camera quality not as expected"
5,Best in the market!,"Everything awesome 
Next day delivery..
Superb camera.
Battery backup is less you will get charge fast but loose the charge fast.
Display is very smooth..
Overall a good package!!!"
5,Terrific purchase,best budget phone
4,Good choice,I am happy
5,Excellent,Best product... I thik its a gd product in this price
4,Pretty good,Awsm
4,Very Good,Best phone at this price and looking beautiful from back
5,Awesome,Fastest Delivery Good Jobs Flipkart
5,Perfect product!,"Faddu phone
No words tooo say
Superb in all thing"
5,Highly recommended,Excellent phone
5,Highly recommended,Nice
5,Classy product,Mind blowing..
5,Worth every penny,"Ek dum Rapchik mobile

Superb camera, performance and look like awesome phone by Realme."
5,Awesome,Best mid range smartphone.....of 2020
5,Awesome,Super
5,Wonderful,"good display, sound is nice.refressh rate is good."
5,Wonderful,GOOD
5,Great product,Best mid range handset
4,Value-for-money,Just wow. ...
5,Mind-blowing purchase,"wowww Fidaaa "
5,Terrific,nice phone
5,Awesome,camera is very good and performance is also very good
5,Brilliant,A superb piece with Max features
5,Worth every penny,Superb
4,Good choice,totally satisfied
5,Classy product,Beautiful Product
5,Great product,Very good
5,Highly recommended,awesome
5,Awesome,"very nice mobile, 20xzoom,,, amazing"
5,Super!,"very good "
5,Great product,Awesome product
3,Fair,Below average
5,Super!,Good
5,Highly recommended,Awesome phone
5,Fabulous!,Awesome
5,Brilliant,Good phone
3,Just okay,"Heating while sim data is on, apps are not installing from play store, some of the apps are misbehaving. Developer options missing."
5,Wonderful,Delivery boy behaviour is very nice.overall PHN performance is good.
5,Terrific,Redmi best
5,Worth every penny,"awesome phone.
good camera. battery back up ok. performence super"
5,Classy product,this phone is very good but plz give an head set with it
5,Terrific purchase,"Outstanding performance
Go for it without any doubt"
5,Great product,"Wonderfull mobile, very fast delivery, thnks flip cart"
5,Fabulous!,Awesome  Mobile
5,Excellent,Awessom phone in all sides
4,Really Nice,Veri nice phone
5,Brilliant,cool
5,Highly recommended,"Nice product "
5,Awesome,fantastic fone im really love this fone
4,Value-for-money,Good
5,Terrific,Nice product
4,Wonderful,Good
5,Must buy!,Super
5,Brilliant,Nice phone
5,Worth every penny,Wonderful phone by realme.. Happy with my choice.. Always maintain the phone this way with good updates..
5,Terrific,Awesome product but I'm very disappointed from flipkart service
5,Brilliant,Product is excellent...I have played pubg and it run very smoothly without frame drops ..battery is very good ..it looks very awesome design and build quality is good..I would recommend everyone this beast
5,Terrific purchase,Nice Realme Is Always Mass
3,Does the job,"Average rating because of
1 Fingerprint placement
2 front camera not good
3 not provided screen guard

Worst delivery by Flipkart"
5,Great product,Nice Mobile
4,Really Nice,Worth to buy..
5,Terrific purchase,its ossam vey nice
,Not good,"Not satisfied with realme 6pro (1)camera is not good (2) battery during fast (3) too much hiting wan charging (4) both front and back camera is dispoint me... I am camera lover but I don't like the cameras...., It's my bday gift but West of money"
5,Best in the market!,Nice Product
4,Value-for-money,Nice
5,Terrific,AWSOME MOBILE..I LIKE IT VERY MUCH
4,Wonderful,Nise
5,Highly recommended,superb features in real 6pro with affordable price
5,Perfect product!,Loved it ❤️
4,Good choice,Very nice product
5,Highly recommended,Nice phone
5,Wonderful,Really good product and smooth operating
5,Highly recommended,"So good product ❤️
Awesome mobial
Good future this product..."
5,Super!,Best to buy a premium phone in this range..feel awesome
4,Worth the money,So beautiful phone
5,Must buy!,"Best mobile you can get in this budget
screen was the crisp and clear
camera was superb in all conditions
battery backup is good enough

A Lot better than MI phones"
5,Wonderful,"the best at this price "
5,Brilliant,Awesome phone
4,Good choice,"Amazing phone I like it "
5,Perfect product!,Very nice mobile
5,Just wow!,This is the best mobile in terms of all aspects
5,Mind-blowing purchase,Awesome
5,Simply awesome,Nice camera
5,Terrific purchase,"Super product very nice
Value for our money
Very nice for gaming"
5,Mind-blowing purchase,good
5,Fabulous!,Very nice product
5,Great product,Awesome Mobile
5,Fabulous!,10 out of 10
5,Great product,worth one
5,Best in the market!,very nice
5,Brilliant,Nice phone
5,Terrific purchase,Awsm mbl
5,Worth every penny,"awesome product
love it"
5,Terrific,Ultimate phone in this range
5,Just wow!,Osm phn
